domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
tvt.ne.jp,1,2002,20020302070423,20020302070423,http://www.tvt.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
ucatv.ne.jp,1,2002,20020302070423,20020302070423,http://www.ucatv.ne.jp/catv,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
uincnet.ne.jp,1,2002,20020302070423,20020302070423,http://www.uincnet.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
victory-ch.tv,1,2002,20020511041457,20020511041457,http://www.victory-ch.tv,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi?start=60&key=,False,,
vill.yanagida.ishikawa.jp,1,2002,20020302070423,20020302070423,http://www.vill.yanagida.ishikawa.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
wainet.co.jp,1,2002,20020302070423,20020302070423,http://www.wainet.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
watv.ne.jp,1,2002,20020302070423,20020302070423,http://www.watv.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
web-sanin.co.jp,1,2002,20020302070423,20020302070423,http://www.web-sanin.co.jp/ local/nita/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
winknet.ne.jp,1,2002,20020302070423,20020302070423,http://www.winknet.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
wombat.or.jp,1,2002,20020302070423,20020302070423,http://www.wombat.or.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
www1.san.town.sonobe.kyoto.jp,1,2002,20020302070423,20020302070423,http://www1.san.town.sonobe.kyoto.jp/ smg/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
www2.shizuokanet.ne.jp,1,2002,20020302070423,20020302070423,http://www2.shizuokanet.ne.jp/ izu_east/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
www3.ocn.ne.jp,1,2002,20020302070423,20020302070423,http://www3.ocn.ne.jp/~kbctv/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
ytv.ne.jp,1,2002,20020302070423,20020302070423,http://www.ytv.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
yytv.co.jp,1,2002,20020302070423,20020302070423,http://www.yytv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
ztv.co.jp,1,2002,20020302070423,20020302070423,http://www.ztv.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
cw1.zaq.ne.jp,7,2002,20020302070423,20020302070423,http://www.cw1.zaq.ne.jp/occn/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
macromedia.com,7,2002,20020302070201,20020803082611,±¿ç,http://www.eiseihoso.org:80/guide/main000.html,True,,
adobe.co.jp,6,2002,20020108230942,20020803082611,"Adobe 
              Acrobat Reader",http://www.eiseihoso.org:80/aboutus/h003-01.html,True,,
