domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
ryuukou.minibird.jp,4,"2015,2017",20150430042551,20170616080112,http://ryuukou.minibird.jp/,http://www.japan-affiliate.org/regular/netoge-usepc/,True,,
searchengineoptimization.jp,4,"2016,2017",20160304175245,20171007062817,SEO 検索エンジン最適化,http://www.japan-affiliate.org:80/news/osaka2016/,True,,
shizuokalifehack.com,4,"2015,2016,2017",20150501061642,20170625035925,静岡ライフハック研究会,http://www.japan-affiliate.org/news/honki2012/,True,,
shouten-ph.com,4,"2014,2015",20140715140251,20150430032612,聖天薬局（しょうてんやっきょく）,http://www.japan-affiliate.org/regular/shouten-ph/,True,,
smaphocase.com,4,"2015,2016,2017",20150501061642,20170625035925,スマートフォンケース.com,http://www.japan-affiliate.org/news/honki2012/,True,,
tachikawajob.net,4,"2015,2017",20150430042551,20170616080112,http://www.tachikawajob.net/,http://www.japan-affiliate.org/regular/netoge-usepc/,True,,
taiken-report.com,4,"2014,2016",20140401051059,20160620210744,http://www.taiken-report.com/,http://www.japan-affiliate.org/regular/millioncom/,True,,
taiken.in,4,"2014,2016,2017",20140608015934,20170905200136,http://taiken.in/volunteer/,http://www.japan-affiliate.org:80/news/honki2011detail/,True,,
the-kuruma.com,4,"2014,2015,2016,2017",20140216052756,20170128230915,,http://www.japan-affiliate.org:80/regular/narusencp/,True,,
tohoku-affiliater.com,4,"2014,2016,2017",20140608015934,20170905200136,http://tohoku-affiliater.com/blog/,http://www.japan-affiliate.org:80/news/honki2011detail/,True,,
tsuruhashi.net,4,"2014,2015",20140401051739,20150327093030,http://www.tsuruhashi.net/,http://www.japan-affiliate.org/regular/reebird/,True,,
tukudaniko.blog28.fc2.com,4,"2015,2016",20150429235720,20160411223128,http://tukudaniko.blog28.fc2.com/,http://www.japan-affiliate.org/regular/nikoniko/,True,,
u150.jugem.jp,4,"2015,2016",20150430003837,20160618235912,http://u150.jugem.jp/,http://www.japan-affiliate.org/regular/happyclover/,True,,
wa.llsticker.com,4,"2015,2016,2017",20150319070248,20171007062817,ウォールステッカー.com,http://www.japan-affiliate.org/news/kobe201503support/,True,,
walkingfun.net,4,2017,20170726011243,20170726011243,http://walkingfun.net/pool/,http://www.japan-affiliate.org/regular/micoblo/,True,,
warashibe.info,4,2016,20160814173432,20160916105404,わらしべ暮らしのブログ,http://www.japan-affiliate.org:80/news/nagoya2016/,True,,
weddingnyanko.seesaa.net,4,"2014,2015",20140401051358,20150430040356,http://weddingnyanko.seesaa.net/,http://www.japan-affiliate.org/regular/fruits-nyanko/,True,,
